claim_id,candidate_claim,exact_value_unit_denominator,evidence_file,generating_script_or_config,uncertainty_or_sensitivity,boundary_of_inference,planned_location
C01,"The analytical inventory contains 18 UNESCO component records, of which 17 have verified point geometry.","18 inventory records; 17 geolocated; Saraikala 139-002 unresolved","06_processed_vectors/taxila_components_wgs84.geojson","spatial foundation copied by 08_experiment_scripts/execute_experiment_pipeline.py","Geometry status explicit per feature","Points and analytical circles are not official property polygons or legal buffers",Methods; Results; Supplementary Table S1
C02,"The common E2004 to E2024 endpoint support covers most of the analytical grid.","386280 cells; 95.73708734014077%","13_tables/baseline_reproduction/endpoint_screening_summary.json","08_experiment_scripts/baseline/run_integrated_experiments.py","Deterministic for frozen masks","Coverage does not validate change causation",Results
C03,"At least two adverse endpoint spectral criteria co-occurred in a minority of supported cells.","65391 of 386280 cells; 16.928393911152533%","13_tables/baseline_reproduction/endpoint_screening_summary.json","08_experiment_scripts/baseline/run_integrated_experiments.py","Threshold and harmonisation sensitivity remain","Spectral convergence is not monument damage",Results
C04,"All three adverse endpoint spectral criteria co-occurred in a small share of supported cells.","5493 of 386280 cells; 1.4220254737496116%","13_tables/baseline_reproduction/endpoint_screening_summary.json","08_experiment_scripts/baseline/run_integrated_experiments.py","Threshold and harmonisation sensitivity remain","Screening signal only",Results
C05,"The endpoint thresholds were data-derived quintile cut points.","delta NDVI q20 -0.0054348884; delta MNDWI q20 -0.0374276191; delta NDBI q80 0.0083485637","13_tables/baseline_reproduction/endpoint_screening_summary.json","08_experiment_scripts/baseline/run_integrated_experiments.py","Fixed after frozen endpoint reproduction","Thresholds are screening definitions, not physical damage thresholds",Methods; Supplementary Methods
C06,"Open-Meteo data were complete for all returned cells.","4 cells x 12784 daily rows; 1991-01-01 to 2025-12-31; zero missing dates and values","13_tables/open_meteo_quality_control.csv","08_experiment_scripts/execute_experiment_pipeline.py","QC deterministic","Gridded reanalysis is not station truth",Methods; Results
C07,"The annual Open-Meteo precipitation series declined over 1991 to 2025.","Theil-Sen -10.303704 mm/year; moving-block 95% CI -17.914978 to -2.667900; FDR p 0.035982","14_statistics/open_meteo_climate_trends_block_bootstrap.csv","08_experiment_scripts/execute_experiment_pipeline.py; run_config.json","2000 draws; 5-year blocks; baseline-period sensitivity reported","Reanalysis trend without local station validation; no causal attribution",Results; Discussion
C08,"Annual mean temperature increased over 1991 to 2025 in Open-Meteo.","Theil-Sen 0.041753 degC/year; moving-block 95% CI 0.009929 to 0.073133; FDR p 0.034983","14_statistics/open_meteo_climate_trends_block_bootstrap.csv","08_experiment_scripts/execute_experiment_pipeline.py; run_config.json","2000 draws; 5-year blocks; baseline-period sensitivity reported","Reanalysis trend without local station validation; no causal attribution",Results; Discussion
C09,"Several additional annual or seasonal climate metrics did not retain corrected evidence of change.","Examples: annual rx1day FDR p 0.271114; monsoon precipitation FDR p 0.391104; post-monsoon temperature FDR p 0.088622","14_statistics/open_meteo_climate_trends_block_bootstrap.csv","08_experiment_scripts/execute_experiment_pipeline.py","Multiple testing controlled by Benjamini-Hochberg FDR","Non-rejection is not proof of no change",Results; Supplementary Table
C10,"The legacy description of E2024 as uniformly wet was not reproduced with scene-date Open-Meteo windows.","E2024: 30d 42.469444 mm; 90d 221.191667 mm; 365d 852.919444 mm; none is the five-epoch maximum","13_tables/landsat_epoch_weather_lag_summary.csv; 16_validation/baseline_discrepancy_and_correction_record.csv","08_experiment_scripts/execute_experiment_pipeline.py","Multi-scene epoch means across four cells","Product and window dependent; no station validation",Results; Discussion
C11,"Open-Meteo and NASA POWER disagree strongly for annual precipitation.","n 35; Spearman rho 0.082633; Pearson r 0.105818; RMSE 646.739417 mm/year; MAE 431.913429 mm/year","13_tables/open_meteo_nasa_power_comparison.csv","08_experiment_scripts/execute_experiment_pipeline.py","Sensitivity excluding daily values above 200 mm and pre-2020 subset available","Disagreement cannot identify the more accurate product",Results; Discussion
C12,"The two weather products returned opposite annual trend directions for key variables.","Precipitation -10.303704 versus +29.212000 mm/year; mean temperature +0.041753 versus -0.037217 degC/year","13_tables/weather_product_trend_slope_agreement.csv","08_experiment_scripts/execute_experiment_pipeline.py","Product comparison only","Not station-validated accuracy",Results; Supplementary
C13,"Weather-spectral associations are underpowered.","15 associations; n 5 epochs each; no p values; leave-one-epoch rho ranges often cross zero","14_statistics/weather_spectral_lag_associations.csv","08_experiment_scripts/execute_experiment_pipeline.py","Leave-one-epoch sensitivity","Descriptive association only; no causality",Results; Discussion; Supplementary
C14,"NDVI-pressure and NDBI-pressure encode strongly redundant component-level evidence.","Spearman rho 0.971707","13_tables/baseline_reproduction/factor_redundancy_screen.csv","08_experiment_scripts/baseline/run_integrated_experiments.py","Computed at 500 m across component-epochs","Correlation does not establish identical physical processes",Methods; Results
C15,"Giri is the deterministic leader at the primary 500 m support.","Rank 1; local priority score 0.591176","13_tables/component_rankings_250m_500m_1000m.csv","08_experiment_scripts/execute_experiment_pipeline.py","Must be reported with weight and block uncertainty","Relative inspection priority, not monument condition or risk",Results
C16,"Rank agreement is higher between 500 and 1000 m than between 250 and 1000 m.","Spearman rho 0.918455 and 0.710784 respectively; Kendall tau 0.774913 and 0.529412","13_tables/component_ranking_scale_sensitivity.csv","08_experiment_scripts/execute_experiment_pipeline.py","Top-k overlaps and rank reversals also reported","Analytical supports are not legal buffers",Results; Discussion
C17,"Weight uncertainty broadens the apparent certainty of the top ranking.","Giri median rank 1; rank percentile interval 1 to 9; P top3 0.77398; 50000 draws","13_tables/baseline_reproduction/monte_carlo_domain_weight_rank_uncertainty.csv","08_experiment_scripts/baseline/run_integrated_experiments.py","Dirichlet domain-weight simulation","No expert elicitation was available",Results; Discussion
C18,"Spatial spectral resampling shifts the median leader from Giri to Bhallar.","Bhallar median rank 1, CI 1 to 5, P top3 0.9110; Giri median rank 2, CI 1 to 3, P top3 0.9855; 2000 draws","14_statistics/component_rank_spatial_block_bootstrap.csv","08_experiment_scripts/execute_experiment_pipeline.py","150 m blocks; terrain fixed","Different uncertainty question from deterministic rank and weight perturbation",Results; Discussion
C19,"MNDWI removal has the largest factor-ablation effect among the retained spectral indicators.","Spearman rho -0.279583; Kendall tau -0.214024; top-five overlap 0; maximum rank change 13","13_tables/complete_factor_domain_ablation.csv","08_experiment_scripts/execute_experiment_pipeline.py","Compared with full integrated-context rank","Sensitivity result, not proof of causal mechanism",Results; Discussion
