final_id,type,title,placement,manuscript_location,verified_source_or_basis,inference_label
F1,Figure,"Study area, component inventory and analytical supports",Main,"Methods 3.1","12_maps/figure_01_study_area_context_map.pdf","analytical support"
F2,Figure,"CHIP workflow and inference boundaries",Main,"Methods 3.2","validated run sequence; configurations; 16_validation/experiment_status_matrix.csv","workflow"
F3,Figure,"Five-epoch relative landscape-pressure surfaces",Main,"Results 4.2","12_maps/figure_02_five_epoch_landscape_pressure_maps.pdf","relative landscape pressure"
F4,Figure,"Endpoint adverse-spectral convergence",Main,"Results 4.3","12_maps/figure_03_spectral_pressure_convergence.pdf","spectral convergence"
F5,Figure,"Annual climate trends and moving-block uncertainty",Main,"Results 4.4","11_figures/figure_05_annual_climate_trends.pdf","regional climate forcing"
F6,Figure,"Landsat-epoch antecedent weather",Main,"Results 4.4","11_figures/figure_07_epoch_specific_weather_forcing.pdf","acquisition-window weather"
F7,Figure,"Open-Meteo and NASA POWER comparison",Main,"Results 4.4","11_figures/figure_09_open_meteo_nasa_power_comparison.pdf","product agreement"
F8,Figure,"Terrain, flow and drainage susceptibility",Main,"Results 4.5","12_maps/figure_11_terrain_flow_drainage_susceptibility.pdf","terrain and hydrological susceptibility"
F9,Figure,"E2024 integrated 500 m inspection priority",Main,"Results 4.6","12_maps/figure_12_integrated_component_priority_map.pdf","relative field-inspection priority"
F10,Figure,"Component ranks across analytical supports",Main,"Results 4.7","11_figures/figure_13_component_rankings_by_scale.pdf","scale sensitivity"
F11,Figure,"Indicator redundancy",Main,"Results 4.7","11_figures/figure_15_indicator_redundancy_matrix.pdf","rank redundancy"
F12,Figure,"Factor and domain ablation",Main,"Results 4.7","11_figures/figure_17_factor_domain_ablation.pdf","sensitivity"
F13,Figure,"Weight and spatial-block rank uncertainty",Main,"Results 4.7","11_figures/figure_16_rank_stability_uncertainty.pdf","rank uncertainty"
F14,Figure,"Buffered proxy-model performance and calibration",Main,"Results 4.8","11_figures/figure_14_proxy_model_performance_calibration.pdf","proxy land-cover agreement"
T1,Table,"Data sources, periods, supports and roles",Main,"Methods 3.3","01_sources_and_manifests/source_manifest.csv; 17_reproducibility/data_dictionary.csv","data provenance"
T2,Table,"Indicator transformations, formulae and weights",Main,"Methods 3.4 and 3.7","13_tables/composite_formulas_weights_normalisation.csv","relative scoring architecture"
T3,Table,"Experiment and evidence-completeness status",Main,"Results 4.1","16_validation/experiment_status_matrix.csv; 18_unresolved_issues/limitations_and_unsuccessful_analyses.csv","experiment status"
T4,Table,"Headline findings and inference boundaries",Main,"Results 4.1 to 4.8","16_validation/claim_evidence_matrix.csv and final numerical tables","evidence and boundary"
FS1,Figure,"Monthly Open-Meteo climatology",Supplementary,"S4","11_figures/figure_04_open_meteo_climatology.pdf","regional climate context"
FS2,Figure,"Seasonal and monsoon climate anomalies",Supplementary,"S4","11_figures/figure_06_seasonal_monsoon_anomalies.pdf","regional climate variability"
FS3,Figure,"Climate-extreme timeline, 1991 to 2025",Supplementary,"S4","11_figures/figure_08_climate_extremes_timeline.pdf","regional climate extremes"
FS4,Figure,"Exploratory weather-spectral lag associations",Supplementary,"S4","11_figures/figure_10_weather_spectral_lag_associations.pdf","exploratory association"
TS1,Table,"Component inventory and geometry status",Supplementary,"S1","06_processed_vectors/taxila_components_wgs84.geojson","inventory and inclusion"
TS2,Table,"Complete ranks and scores at all supports",Supplementary,"S6","13_tables/component_rankings_250m_500m_1000m.csv","relative priority and scale"
TS3,Table,"Climate trends and baseline sensitivity",Supplementary,"S4","14_statistics/open_meteo_climate_trends_block_bootstrap.csv; 14_statistics/climate_baseline_period_sensitivity.csv","regional climate trend"
TS4,Table,"Complete weather-product comparison",Supplementary,"S4","13_tables/open_meteo_nasa_power_comparison.csv and product-agreement tables","product agreement"
TS5,Table,"Complete factor and domain ablation",Supplementary,"S7","13_tables/complete_factor_domain_ablation.csv; 13_tables/component_factor_domain_ablation_ranks.csv","sensitivity"
TS6,Table,"Weight and spatial-block rank distributions",Supplementary,"S7","13_tables/baseline_reproduction/monte_carlo_domain_weight_rank_uncertainty.csv; 14_statistics/component_rank_spatial_block_bootstrap.csv","rank uncertainty"
TS7,Table,"Proxy-model metrics, calibration and confusion records",Supplementary,"S8","buffered comparison, calibration, class distribution and primary confusion-matrix tables","proxy land-cover agreement"
