experiment_id,experiment,status,central_finding,evidence_path,disposition,reason
1,Existing Landsat and proxy baseline reproduction,COMPLETED,Endpoint support 95.7371%; 16.9284% met at least two adverse spectral criteria; 1.4220% met all three.,13_tables/baseline_reproduction/endpoint_screening_summary.json,main_text_and_supplementary,Core reproducibility anchor; terminology must remain relative landscape pressure.
2,Data acquisition and completeness,COMPLETED,Four weather cells cover 17 geolocated components; each cell contains 12784 complete daily records for 1991 to 2025.,13_tables/open_meteo_quality_control.csv; 13_tables/weather_grid_component_counts.csv,methods_and_supplementary,Required for provenance and completeness; detailed inventories belong in supplementary material.
3,Open-Meteo weather analysis,COMPLETED,"Annual, seasonal, monthly and extreme-weather summaries were generated from QC-passed ERA5-Seamless data.",13_tables/open_meteo_annual_climate_metrics.csv; 13_tables/open_meteo_seasonal_climate_metrics.csv,main_text_and_supplementary,Central climate context; full tables are too detailed for the main narrative.
4,Open-Meteo versus NASA POWER,COMPLETED,"Annual precipitation agreement was weak, Spearman rho 0.0826, and trend directions disagreed.",13_tables/open_meteo_nasa_power_comparison.csv; 13_tables/weather_product_trend_slope_agreement.csv,main_text_and_supplementary,Important product uncertainty result; neither product is ground truth.
5,Historical climate variability and trends,COMPLETED,"Open-Meteo annual precipitation slope was -10.3037 mm/year and mean temperature slope was 0.041753 degC/year, with moving-block intervals and FDR correction.",14_statistics/open_meteo_climate_trends_block_bootstrap.csv,main_text_and_main_display,Headline climate result with explicit reanalysis and baseline-sensitivity caveats.
6,Weather during Landsat epochs,COMPLETED,"E2024 was not the wettest epoch in the Open-Meteo 30, 90 or 365 day scene-date windows.",13_tables/landsat_epoch_weather_lag_summary.csv,main_text_and_main_display,Corrects the legacy uniformly-wet interpretation and is central to temporal interpretation.
7,Weather-spectral relationships,EXPLORATORY,All lag associations use only five independent epochs and are unstable under leave-one-epoch checks.,14_statistics/weather_spectral_lag_associations.csv,main_text_caution_and_supplementary,"Descriptive only; no p values, causality or strong inference."
8,Terrain and hydrological susceptibility,COMPLETED,"Elevation, slope, terrain roughness and position, D8 flow, wetness proxy and drainage distance were derived at 250, 500 and 1000 m supports.",13_tables/baseline_reproduction/component_multiscale_terrain_hydrology.csv,main_text_main_display_and_supplementary,A core CHIP domain; these variables are susceptibility proxies without field hydrological validation.
9,Integrated component priority,COMPLETED,The fixed E2024 500 m local score ranked Giri first at 0.591176.,13_tables/component_rankings_250m_500m_1000m.csv,main_text_and_main_display,Central decision-support result; must be paired with ranking uncertainty.
10,Scale sensitivity,COMPLETED,Rank agreement was rho 0.918455 for 500 versus 1000 m and rho 0.710784 for 250 versus 1000 m.,13_tables/component_ranking_scale_sensitivity.csv,main_text_main_display_and_supplementary,Shows that analytical support changes component ordering.
11,Redundancy analysis,COMPLETED,"NDVI-pressure and NDBI-pressure were strongly correlated, rho 0.971707, and were grouped into one surface-cover subdomain.",13_tables/baseline_reproduction/factor_redundancy_screen.csv,methods_results_and_supplementary,Justifies hierarchical weighting and prevents double counting.
12,Factor and domain ablation,COMPLETED,Leaving MNDWI out produced rho -0.279583 and maximum rank change 13; terrain and drainage removals also changed rankings materially.,13_tables/complete_factor_domain_ablation.csv,main_text_main_display_and_supplementary,Identifies which design assumptions control ranking behaviour.
13,Weighting uncertainty,COMPLETED,Fifty thousand Dirichlet weight draws gave Giri median rank 1 with 2.5 to 97.5 percentile ranks 1 to 9 and top-three probability 0.77398.,13_tables/baseline_reproduction/monte_carlo_domain_weight_rank_uncertainty.csv,main_text_main_display_and_supplementary,Replaces unsupported confidence in one equal-weight ranking.
14,Spatial block-bootstrap uncertainty,COMPLETED,Two thousand 150 m spectral-block draws gave Bhallar median rank 1 and Giri median rank 2 with overlapping intervals.,14_statistics/component_rank_spatial_block_bootstrap.csv,main_text_and_main_display,Essential distinction between fixed score and sampling-sensitive rank.
15,Proxy-model comparison,COMPLETED,Development-selected random forest achieved outer-stripe macro-F1 0.821433 with 95% block-bootstrap interval 0.691099 to 0.835178.,experiments/spatial_extension/2026-09-06-windows/model_comparison.csv,Excluded from the article,OUT OF SCOPE for the submitted article (2026-09-20): the land-cover classification benchmark was removed from the manuscript. Result retained in the archive; supports no claim.
16,Optional ancillary hazards,NOT_EXECUTED,"Earthquake, flood, landslide, quarry and population layers were not added.",16_validation/experiment_status_matrix.csv; 18_unresolved_issues/limitations_and_unsuccessful_analyses.csv,limitations,The central experiment did not require them and no harmonised validated event inventory was supplied.
